Keyword,Song title,Artist,Release date,Page views,Lyrics
Ginobili,​velux,Ratu$ (FRA),2020-12-18,12463,"les techniques d'un shinobi, que des lay-up comme Ginóbili, Refoule tous les p'tits novices, dans cette merde"
Ginobili,Juice WRLD Freestyles on Flex | Freestyle #101,Juice WRLD,2018-07-18,15232,"like Kobe, uh
Clutch as fuck bitch I feel like Ginóbili
At least that's what your mama told me"
Ginobili,Suckas ASKiN QUESTiONS,RiFF RAFF,2013-12-30,12521,"Jody
Cup full of Kobe and I'm ballin' like Ginóbili
All these suckas askin' questions
Bitch I'm still"
Ginobili,Lil Tracy - %%%% (ft. Lucki) (Traduction française),Genius Traductions Françaises,2017-07-31,13376,"know me
Need lean, clean fiend, scoring fast, I'm Ginobili
Four more, stomach pain, not ashamed, can't afford"
Ginobili,Defiant,Pop Smoke,2021-07-21,11965,"Kobe
Don't play with that lefty, he shoot like Ginóbili
Yeah Trav' always tweaking
I ride with some apes"
Ginobili,Kobe or Ginobili (Remix),Mack Maine,2013-05-22,11230,"girl show me
Bitch I ball hard like Kobe or Ginobili
Bitch I ball hard like Kobe or Ginobili
No"
Ginobili,Splenda,Ramriddlz,2015-07-01,10114,"my cock, no Kobe
Pass 'em to the left like Ginóbili, word up to Mo-G
All of my diamonds"
Ginobili,Switched Up,Rylo Rodriguez,2020-11-27,11684,"shooter round me like Kobe
Twenty more, racks on me, Ginóbili
On the floor, basketball game, my shirt was soaked"
Ginobili,Anti Freestyle,Mozzy,2017-01-26,14445,"no Kobe
Got OG's that'll still shoot like Ginobili
A band for my coat like I live where"
Ginobili,​life got crazy,​mike. fka mike stud,2021-07-09,12614,"Never get ahead, moving slowly
Then it went left, went Ginobili
When life got crazy
Feel like I'm living"
Ginobili,Thin Line,Marcellus Juvann,2016-07-13,10891,"gon ride
And all my homies gon win, yeah
Young Ginóbili with the rock
Threw some Kobe in the mix"
Ginobili,First Day Bacc on Da Bloc,BlocBoy JB,2017-06-30,9159,"Milly Rock
San Antonio to shoot you, I call that Ginobili
Niggas snitching on they niggas, tryna keep it lowkey"
Ginobili,Madchild vs Daylyt,King of the Dot,2015-02-08,9512,"his tip toes
I sidestep him, but I’m the Ginóbili of this shit oh
Guaranteed to hit the shot"
Ginobili,Tsu Surf vs. Rum Nitty,URLtv,2018-06-23,10119,"tapes
Went over all your old steps (Euro steps) like Ginobili practice
You can’t teach me a lesson ‘bout"
